Code,Description
138,Entity's site id . Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
139,Entity's health maintenance provider id (HMO). Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
140,Entity's preferred provider organization id (PPO). Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
141,Entity's administrative services organization id (ASO). Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
142,Entity's license/certification number. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
143,Entity's state license number. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
144,Entity's specialty license number. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
145,Entity's specialty/taxonomy code. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
146,Entity's anesthesia license number. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
147,"Entity's qualification degree/designation (e.g. RN,PhD,MD). Usage: This code requires use of an Entity Code.Start: 02/28/1997 | Last Modified: 07/01/2017"
148,Entity's social security number. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
149,Entity's employer id. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
150,Entity's drug enforcement agency (DEA) number. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
152,Pharmacy processor number.Start: 01/01/1995
153,Entity's id number. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
154,Relationship of surgeon & assistant surgeon.Start: 01/01/1995
155,Entity's relationship to patient. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
156,Patient relationship to subscriberStart: 01/01/1995
157,Entity's Gender. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
158,Entity's date of birth. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
159,Entity's date of death. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
160,Entity's marital status. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
161,Entity's employment status. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
162,Entity's health insurance claim number (HICN). Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
163,Entity's policy/group number. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
164,Entity's contract/member number. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
165,"Entity's employer name, address and phone. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017"
166,Entity's employer name. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
167,Entity's employer address. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
168,Entity's employer phone number. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
169,Entity's employer id.Start: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 01/01/2008
170,Entity's employee id. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
171,"Other insurance coverage information (health, liability, auto, etc.).Start: 01/01/1995"
172,"Other employer name, address and telephone number.Start: 01/01/1995"
173,"Entity's name, address, phone, gender, DOB, marital status, employment status and relation to subscriber. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017"
174,Entity's student status. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
175,Entity's school name. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
176,Entity's school address. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
177,"Transplant recipient's name, date of birth, gender, relationship to insured.Start: 01/01/1995 | Last Modified: 02/28/2000"
178,Submitted charges.Start: 01/01/1995
179,Outside lab charges.Start: 01/01/1995
180,Hospital s semi-private room rate.Start: 01/01/1995
181,Hospital s room rate.Start: 01/01/1995
182,Allowable/paid from other entities coverage Usage: This code requires the use of an entity code.Start: 01/01/1995 | Last Modified: 07/01/2017
183,Amount entity has paid. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
184,Purchase price for the rented durable medical equipment.Start: 01/01/1995
185,Rental price for durable medical equipment.Start: 01/01/1995
186,Purchase and rental price of durable medical equipment.Start: 01/01/1995
187,Date(s) of service.Start: 01/01/1995
188,Statement from-through dates.Start: 01/01/1995
189,Facility admission dateStart: 01/01/1995 | Last Modified: 10/31/2006
190,Facility discharge dateStart: 01/01/1995 | Last Modified: 10/31/2006
191,Date of Last Menstrual Period (LMP)Start: 02/28/1997
192,Date of first service for current series/symptom/illness.Start: 01/01/1995
193,First consultation/evaluation date.Start: 02/28/1997
194,Confinement dates.Start: 01/01/1995
195,Unable to work dates/Disability Dates.Start: 01/01/1995 | Last Modified: 09/20/2009
196,Return to work dates.Start: 01/01/1995
197,Effective coverage date(s).Start: 01/01/1995
198,Medicare effective date.Start: 01/01/1995
199,Date of conception and expected date of delivery.Start: 01/01/1995
200,Date of equipment return.Start: 01/01/1995
201,Date of dental appliance prior placement.Start: 01/01/1995
202,Date of dental prior replacement/reason for replacement.Start: 01/01/1995
203,Date of dental appliance placed.Start: 01/01/1995
204,Date dental canal(s) opened and date service completed.Start: 01/01/1995
205,Date(s) dental root canal therapy previously performed.Start: 01/01/1995
206,"Most recent date of curettage, root planing, or periodontal surgery.Start: 01/01/1995"
207,Dental impression and seating date.Start: 01/01/1995
208,Most recent date pacemaker was implanted.Start: 01/01/1995
209,Most recent pacemaker battery change date.Start: 01/01/1995
210,Date of the last x-ray.Start: 01/01/1995
211,Date(s) of dialysis training provided to patient.Start: 01/01/1995
212,Date of last routine dialysis.Start: 01/01/1995
213,Date of first routine dialysis.Start: 01/01/1995
214,Original date of prescription/orders/referral.Start: 02/28/1997
215,Date of tooth extraction/evolution.Start: 01/01/1995
216,Drug information.Start: 01/01/1995
217,"Drug name, strength and dosage form.Start: 01/01/1995"
218,NDC number.Start: 01/01/1995
219,Prescription number.Start: 01/01/1995
220,Drug product id number. (Use code 218)Start: 01/01/1995 | Last Modified: 10/17/2010 | Stop: 07/01/2011
221,Drug days supply and dosage.Start: 01/01/1995 | Last Modified: 01/24/2010 | Stop: 01/01/2012
222,Drug dispensing units and average wholesale price (AWP).Start: 01/01/1995
223,Route of drug/myelogram administration.Start: 01/01/1995
224,Anatomical location for joint injection.Start: 01/01/1995
225,Anatomical location.Start: 01/01/1995
226,Joint injection site.Start: 01/01/1995
227,Hospital information.Start: 01/01/1995
228,Type of bill for UB claimStart: 01/01/1995 | Last Modified: 10/31/2006
229,Hospital admission source.Start: 01/01/1995
230,Hospital admission hour.Start: 01/01/1995
231,Hospital admission type.Start: 01/01/1995
232,Admitting diagnosis.Start: 01/01/1995
233,Hospital discharge hour.Start: 01/01/1995
234,Patient discharge status.Start: 01/01/1995
235,Units of blood furnished.Start: 01/01/1995
236,Units of blood replaced.Start: 01/01/1995
237,Units of deductible blood.Start: 01/01/1995
238,Separate claim for mother/baby charges.Start: 01/01/1995
239,Dental information.Start: 01/01/1995
240,Tooth surface(s) involved.Start: 01/01/1995
241,List of all missing teeth (upper and lower).Start: 01/01/1995
242,"Tooth numbers, surfaces, and/or quadrants involved.Start: 01/01/1995"
243,Months of dental treatment remaining.Start: 01/01/1995
244,Tooth number or letter.Start: 01/01/1995
245,Dental quadrant/arch.Start: 01/01/1995
246,"Total orthodontic service fee, initial appliance fee, monthly fee, length of service.Start: 01/01/1995"
247,Line information.Start: 01/01/1995
248,"Accident date, state, description and cause.Start: 01/01/1995 | Last Modified: 01/24/2010 | Stop: 01/01/2012"
249,Place of service.Start: 01/01/1995
250,Type of service.Start: 01/01/1995
251,Total anesthesia minutes.Start: 01/01/1995
252,Entity's prior authorization/certification number. Usage: This code requires the use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
253,Procedure/revenue code for service(s) rendered. Use codes 454 or 455.Start: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 02/28/1997
254,Principal diagnosis code.Start: 01/01/1995 | Last Modified: 01/30/2011
255,Diagnosis code.Start: 01/01/1995
256,DRG code(s).Start: 01/01/1995
257,ADSM-III-R code for services rendered.Start: 01/01/1995
258,Days/units for procedure/revenue code.Start: 01/01/1995
259,Frequency of service.Start: 01/01/1995
260,"Length of medical necessity, including begin date.Start: 02/28/1997"
261,Obesity measurements.Start: 01/01/1995
262,Type of surgery/service for which anesthesia was administered.Start: 01/01/1995
263,Length of time for services rendered.Start: 01/01/1995
264,Number of liters/minute & total hours/day for respiratory support.Start: 01/01/1995
265,Number of lesions excised.Start: 01/01/1995
266,Facility point of origin and destination - ambulance.Start: 01/01/1995
267,Number of miles patient was transported.Start: 01/01/1995
268,Location of durable medical equipment use.Start: 01/01/1995
269,Length/size of laceration/tumor.Start: 01/01/1995
270,Subluxation location.Start: 01/01/1995
271,Number of spine segments.Start: 01/01/1995
272,Oxygen contents for oxygen system rental.Start: 01/01/1995
273,Weight.Start: 01/01/1995
274,Height.Start: 01/01/1995
275,Claim.Start: 01/01/1995
276,UB04/HCFA-1450/1500 claim formStart: 01/01/1995 | Last Modified: 10/31/2006
277,Paper claim.Start: 01/01/1995
278,Signed claim form.Start: 01/01/1995 | Stop: 11/01/2011
279,Claim/service must be itemizedStart: 01/01/1995 | Last Modified: 10/17/2010
280,Itemized claim by provider.Start: 01/01/1995 | Stop: 11/01/2011Notes: Refer to code 279
281,Related confinement claim.Start: 01/01/1995
282,Copy of prescription.Start: 01/01/1995
283,Medicare entitlement information is required to determine primary coverageStart: 01/01/1995 | Last Modified: 01/27/2008
284,Copy of Medicare ID card.Start: 01/01/1995
285,Vouchers/explanation of benefits (EOB).Start: 01/01/1995 | Stop: 11/01/2011Notes: Refer to code 286
286,Other payer's Explanation of Benefits/payment information.Start: 01/01/1995
287,Medical necessity for service.Start: 01/01/1995
288,Hospital late chargesStart: 01/01/1995 | Last Modified: 10/17/2010
289,Reason for late discharge.Start: 01/01/1995 | Stop: 11/01/2011
290,Pre-existing information.Start: 01/01/1995
291,Reason for termination of pregnancy.Start: 01/01/1995
292,Purpose of family conference/therapy.Start: 01/01/1995
293,Reason for physical therapy.Start: 01/01/1995
294,Supporting documentation. Usage: At least one other status code is required to identify the supporting documentation.Start: 01/01/1995 | Last Modified: 07/01/2017
295,Attending physician report.Start: 01/01/1995
296,Nurse's notes.Start: 01/01/1995
297,Medical notes/report.Start: 02/28/1997
298,Operative report.Start: 01/01/1995
299,Emergency room notes/report.Start: 01/01/1995
300,Lab/test report/notes/results.Start: 02/28/1997
301,MRI report.Start: 01/01/1995
302,Refer to codes 300 for lab notes and 311 for pathology notesStart: 01/01/1995 | Stop: 01/31/1997
303,Physical therapy notes. Use code 297:6O (6 'OH' - not zero)Start: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 02/28/1997
304,"Reports for service.Start: 01/01/1995 | Stop: 11/01/2011Notes: Refer to codes 297, 298, 299, 300"
305,Radiology/x-ray reports and/or interpretationStart: 01/01/1995 | Last Modified: 01/30/2011
306,Detailed description of service.Start: 01/01/1995
307,Narrative with pocket depth chart.Start: 01/01/1995
308,Discharge summary.Start: 01/01/1995
309,Code was duplicate of code 299Start: 01/01/1995 | Stop: 01/31/1997
310,Progress notes for the six months prior to statement date.Start: 01/01/1995
311,Pathology notes/report.Start: 01/01/1995
312,Dental charting.Start: 01/01/1995
313,Bridgework information.Start: 01/01/1995
314,Dental records for this service.Start: 01/01/1995
315,Past perio treatment history.Start: 01/01/1995
316,Complete medical history.Start: 01/01/1995
317,Patient's medical records.Start: 01/01/1995 | Stop: 11/01/2011Notes: Refer to code 297 or other specific report type codes
318,X-rays/radiology filmsStart: 01/01/1995 | Last Modified: 10/17/2010
319,Pre/post-operative x-rays/photographs.Start: 02/28/1997
320,Study models.Start: 01/01/1995
321,Radiographs or models. (Use codes 318 and/or 320)Start: 01/01/1995 | Last Modified: 10/17/2010 | Stop: 07/01/2011
322,Recent Full Mouth X-raysStart: 01/01/1995 | Last Modified: 10/17/2010
323,"Study models, x-rays, and/or narrative.Start: 01/01/1995"
324,Recent x-ray of treatment area and/or narrative.Start: 01/01/1995
325,Recent fm x-rays and/or narrative.Start: 01/01/1995
326,Copy of transplant acquisition invoice.Start: 01/01/1995
327,Periodontal case type diagnosis and recent pocket depth chart with narrative.Start: 01/01/1995
328,Speech therapy notes. Use code 297:6RStart: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 02/28/1997
329,Exercise notes.Start: 01/01/1995
330,Occupational notes.Start: 01/01/1995
331,History and physical.Start: 01/01/1995 | Last Modified: 08/01/2007
332,Authorization/certification (include period covered). (Use code 252)Start: 02/28/1997 | Last Modified: 07/09/2007 | Stop: 01/01/2008
333,Patient release of information authorization.Start: 01/01/1995
334,Oxygen certification.Start: 01/01/1995
335,Durable medical equipment certification.Start: 01/01/1995
336,Chiropractic certification.Start: 01/01/1995
337,Ambulance certification/documentation.Start: 01/01/1995
338,Home health certification. Use code 332:4YStart: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 02/28/1997
339,Enteral/parenteral certification.Start: 01/01/1995
340,Pacemaker certification.Start: 01/01/1995
341,Private duty nursing certification.Start: 01/01/1995
342,Podiatric certification.Start: 01/01/1995
343,Documentation that facility is state licensed and Medicare approved as a surgical facility.Start: 01/01/1995
344,Documentation that provider of physical therapy is Medicare Part B approved.Start: 01/01/1995
345,Treatment plan for service/diagnosisStart: 01/01/1995
346,Proposed treatment plan for next 6 months.Start: 01/01/1995
347,Refer to code 345 for treatment plan and code 282 for prescriptionStart: 01/01/1995 | Stop: 01/31/1997
348,Chiropractic treatment plan. (Use 345:QL)Start: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 01/01/2008
349,"Psychiatric treatment plan. Use codes 345:5I, 5J, 5K, 5L, 5M, 5N, 5O (5 'OH' - not zero), 5PStart: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 02/28/1997"
350,Speech pathology treatment plan. Use code 345:6RStart: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 02/28/1997
351,"Physical/occupational therapy treatment plan. Use codes 345:6O (6 'OH' - not zero), 6NStart: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 02/28/1997"
352,Duration of treatment plan.Start: 01/01/1995
353,Orthodontics treatment plan.Start: 01/01/1995
354,Treatment plan for replacement of remaining missing teeth.Start: 01/01/1995
355,Has claim been paid?Start: 01/01/1995 | Stop: 11/01/2011
356,Was blood furnished?Start: 01/01/1995 | Stop: 11/01/2011Notes: Refer to code 235
357,Has or will blood be replaced?Start: 01/01/1995 | Stop: 11/01/2011Notes: Refer to code 236
358,Does provider accept assignment of benefits? (Use code 589)Start: 01/01/1995 | Last Modified: 10/17/2010 | Stop: 07/01/2011
359,Is there a release of information signature on file? (Use code 333)Start: 01/01/1995 | Last Modified: 10/17/2010 | Stop: 07/01/2011
360,Benefits Assignment Certification IndicatorStart: 01/01/1995 | Last Modified: 10/17/2010
361,Is there other insurance?Start: 01/01/1995 | Stop: 11/01/2011Notes: Refer to codes 171 and 550
362,Is the dental patient covered by medical insurance?Start: 01/01/1995 | Stop: 11/01/2011Notes: Refer to code 171
363,Possible Workers' CompensationStart: 01/01/1995 | Last Modified: 10/17/2010
364,Is accident/illness/condition employment related?Start: 01/01/1995
365,Is service the result of an accident?Start: 01/01/1995
366,Is injury due to auto accident?Start: 01/01/1995
367,Is service performed for a recurring condition or new condition?Start: 01/01/1995 | Stop: 11/01/2011Notes: Refer to code 397
368,Is medical doctor (MD) or doctor of osteopath (DO) on staff of this facility?Start: 01/01/1995 | Stop: 11/01/2011Notes: Refer to code 676
369,"Does patient condition preclude use of ordinary bed?Start: 01/01/1995 | Stop: 11/01/2011Notes: Refer to codes 287, 335"
370,"Can patient operate controls of bed?Start: 01/01/1995 | Stop: 11/01/2011Notes: Refer to codes 287, 335"
371,"Is patient confined to room?Start: 01/01/1995 | Stop: 11/01/2011Notes: Refer to codes 287, 335, 527"
372,"Is patient confined to bed?Start: 01/01/1995 | Stop: 11/01/2011Notes: Refer to codes 287, 335, 527"
373,Is patient an insulin diabetic?Start: 01/01/1995 | Stop: 11/01/2011
